"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.698297600E-2,5.295000225E-2,9.736950874E0,1.740000099E-1,9.738649395E0
2.949343800E-2,3.405000269E-2,9.739050865E0,1.740000099E-1,9.740664616E0
3.200389900E-2,6.000000238E-2,9.756000519E0,1.710000038E-1,9.757683492E0
3.451689900E-2,3.600000218E-2,9.715050697E0,1.710000038E-1,9.716622204E0
3.702460800E-2,5.505000427E-2,9.700950623E0,2.119500041E-1,9.703421886E0
3.953506700E-2,5.805000290E-2,9.705000877E0,2.359500080E-1,9.708042245E0
4.204552900E-2,4.095000029E-2,9.708000183E0,2.530499995E-1,9.711383978E0
4.455876000E-2,7.005000114E-2,9.682050705E0,2.700000107E-1,9.686067977E0
4.706644900E-2,5.295000225E-2,9.655050278E0,2.809500098E-1,9.659282193E0
4.957683200E-2,4.095000029E-2,9.646050453E0,2.620500028E-1,9.649696184E0
5.208729300E-2,3.600000218E-2,9.676950455E0,2.220000178E-1,9.679563529E0
5.460052400E-2,6.705000252E-2,9.631050110E0,1.879500151E-1,9.633117207E0
5.710821800E-2,7.395000011E-2,9.591000557E0,1.429500133E-1,9.592350858E0
5.961867300E-2,7.005000114E-2,9.643050194E0,1.090500057E-1,9.643921191E0
6.212890300E-2,1.009500027E-1,9.648000717E0,6.795000285E-2,9.648768105E0
6.464236500E-2,1.009500027E-1,9.636000633E0,3.705000132E-2,9.636600636E0
6.714982900E-2,1.030500084E-1,9.612000465E0,2.505000122E-2,9.612585487E0
6.966030300E-2,1.369500011E-1,9.616950035E0,7.605000585E-2,9.618225766E0
7.217076500E-2,1.219500080E-1,9.604950905E0,1.429500133E-1,9.606788662E0
7.468399500E-2,1.129500046E-1,9.615000725E0,1.669500023E-1,9.617113337E0
7.719169000E-2,1.030500084E-1,9.598050117E0,2.050500065E-1,9.600793242E0
7.970215300E-2,1.099500060E-1,9.622050285E0,2.020500153E-1,9.624799474E0
8.221261500E-2,8.595000207E-2,9.612000465E0,2.500500083E-1,9.615636503E0
8.472576900E-2,3.795000166E-2,9.615000725E0,2.239500135E-1,9.617683336E0
8.723346300E-2,6.195000187E-2,9.628950119E0,2.500500083E-1,9.632395507E0
8.974391400E-2,1.099500060E-1,9.619050026E0,2.620500028E-1,9.623246989E0
9.225437500E-2,9.795000404E-2,9.660000801E0,2.530499995E-1,9.663811049E0
9.476760600E-2,9.600000083E-2,9.708000183E0,2.410500050E-1,9.711466864E0
9.727530000E-2,1.249500066E-1,9.700950623E0,2.650500238E-1,9.705375160E0
9.978552900E-2,9.600000083E-2,9.676950455E0,2.719500065E-1,9.681246971E0
1.022959900E-1,1.129500046E-1,9.691050529E0,2.530499995E-1,9.695011726E0
1.048092210E-1,1.459500045E-1,9.705000877E0,1.810500026E-1,9.707786696E0
1.073169160E-1,1.390500069E-1,9.684000015E0,1.380000114E-1,9.685981375E0
1.098272980E-1,1.459500045E-1,9.648000717E0,1.429500133E-1,9.650163416E0
1.123377600E-1,1.249500066E-1,9.667050362E0,1.399500072E-1,9.668870730E0
1.148509910E-1,7.200000435E-2,9.670050621E0,1.930500120E-1,9.672245413E0
1.173587620E-1,4.995000362E-2,9.694050789E0,2.430000156E-1,9.697224588E0
1.198691300E-1,7.905000448E-2,9.724950790E0,2.790000141E-1,9.729273240E0
1.223795920E-1,7.395000011E-2,9.721950531E0,2.670000196E-1,9.725897375E0
1.248928230E-1,4.995000362E-2,9.720000267E0,2.929500043E-1,9.724542143E0
1.274002860E-1,4.995000362E-2,9.715050697E0,2.460000068E-1,9.718293114E0
1.299109770E-1,4.095000029E-2,9.684000015E0,2.070000172E-1,9.686298684E0
1.324212070E-1,1.009500027E-1,9.694050789E0,1.620000005E-1,9.695929847E0
1.349344380E-1,9.300000221E-2,9.703050613E0,1.039500013E-1,9.704053061E0
1.374421320E-1,8.205000311E-2,9.696000099E0,1.110000089E-1,9.696982579E0
1.399525920E-1,6.495000422E-2,9.661950111E0,1.069500074E-1,9.662760308E0
1.424630540E-1,7.695000619E-2,9.660000801E0,1.020000055E-1,9.660845759E0
1.449762840E-1,8.400000632E-2,9.652950287E0,1.039500013E-1,9.653875431E0
1.474839020E-1,5.505000427E-2,9.655050278E0,1.159500033E-1,9.655903416E0
1.499943650E-1,3.600000218E-2,9.655050278E0,1.759500057E-1,9.656720472E0
1.525048270E-1,3.405000269E-2,9.664950371E0,1.980000138E-1,9.667038278E0
1.550180580E-1,6.495000422E-2,9.658050537E0,1.999500096E-1,9.660338435E0
1.575257520E-1,4.305000231E-2,9.673950195E0,1.810500026E-1,9.675740012E0
1.600362110E-1,2.400000021E-2,9.655050278E0,2.020500153E-1,9.657194006E0
1.625464420E-1,7.005000114E-2,9.691050529E0,1.669500023E-1,9.692741597E0
1.650596730E-1,5.295000225E-2,9.676950455E0,1.549500078E-1,9.678335772E0
1.675673670E-1,-7.950000465E-3,9.712950706E0,1.639500111E-1,9.714337560E0
1.700778270E-1,4.950000439E-3,9.760950089E0,1.590000093E-1,9.762246265E0
1.725882880E-1,-1.050000079E-3,9.784950256E0,1.570500135E-1,9.786210570E0
1.751015190E-1,-4.050000105E-3,9.796050072E0,1.500000060E-1,9.797199264E0
1.776092130E-1,4.095000029E-2,9.820050240E0,1.759500057E-1,9.821711766E0
1.801196110E-1,3.795000166E-2,9.832050323E0,2.119500041E-1,9.834407790E0
1.826301500E-1,5.295000225E-2,9.837000847E0,2.260500044E-1,9.839740239E0
1.851433030E-1,1.005000062E-2,9.859050751E0,2.430000156E-1,9.862050077E0
1.876509980E-1,-1.050000079E-3,9.853950500E0,2.890500128E-1,9.858189057E0
1.901614420E-1,-4.395000264E-2,9.895050049E0,2.500500083E-1,9.898306526E0
1.926719040E-1,-1.305000018E-2,9.957000732E0,1.860000044E-1,9.958746402E0
1.951851350E-1,2.205000073E-2,9.970950127E0,2.550000250E-1,9.974234690E0
1.976928290E-1,-6.000000052E-3,9.993000031E0,2.929500043E-1,9.997294900E0
2.002030580E-1,-1.800000109E-2,9.931050301E0,2.790000141E-1,9.934984906E0
2.027135190E-1,-4.050000105E-3,9.883050919E0,2.220000178E-1,9.885544794E0
2.052267500E-1,1.695000008E-2,9.873000145E0,1.500000060E-1,9.874154099E0
2.077344440E-1,3.105000220E-2,9.820050240E0,1.069500074E-1,9.820681703E0
2.102448950E-1,-4.050000105E-3,9.849000931E0,8.295000345E-2,9.849351067E0
2.127552790E-1,-2.505000122E-2,9.837000847E0,1.020000055E-1,9.837561546E0
2.152685100E-1,-7.095000148E-2,9.856050491E0,1.519500017E-1,9.857477060E0
2.177762050E-1,-1.500000060E-1,9.849000931E0,2.070000172E-1,9.852317917E0
2.202866540E-1,-1.690500081E-1,9.864000320E0,2.190000117E-1,9.867879267E0
2.227971160E-1,-1.710000038E-1,9.828000069E0,2.359500080E-1,9.832319094E0
2.253103460E-1,-1.620000005E-1,9.805950165E0,2.890500128E-1,9.811546899E0
2.278178100E-1,-9.900000691E-2,9.789000511E0,3.030000031E-1,9.794189145E0
2.303282690E-1,-1.020000055E-1,9.768000603E0,2.310000062E-1,9.771264032E0
2.328387310E-1,-6.599999964E-2,9.757950783E0,2.119500041E-1,9.760475515E0
2.353519620E-1,-1.605000161E-2,9.777000427E0,1.450500041E-1,9.778089510E0
2.378596560E-1,-4.200000316E-2,9.757950783E0,1.159500033E-1,9.758730034E0
2.403701160E-1,-7.095000148E-2,9.703050613E0,6.105000153E-2,9.703502059E0
2.428805770E-1,-1.090500057E-1,9.673950195E0,5.400000140E-2,9.674715514E0
2.453937310E-1,-1.189500093E-1,9.682050705E0,7.304999977E-2,9.683056917E0
2.479015020E-1,-9.900000691E-2,9.664950371E0,8.505000174E-2,9.665831582E0
2.504118850E-1,-7.995000482E-2,9.622050285E0,1.110000089E-1,9.623022638E0
2.529224230E-1,-5.595000088E-2,9.555000305E0,7.095000148E-2,9.555427522E0
2.554355770E-1,-2.805000171E-2,9.543000221E0,0.000000000E0,9.543041445E0
2.579432720E-1,-1.800000109E-2,9.610050201E0,-5.805000290E-2,9.610242384E0
2.604537410E-1,-6.000000052E-3,9.646050453E0,-2.205000073E-2,9.646077521E0
2.629642030E-1,-1.800000109E-2,9.643050194E0,-4.605000094E-2,9.643176948E0
2.654772030E-1,3.000000026E-3,9.616950035E0,3.000000119E-2,9.616997295E0
2.679848970E-1,-1.800000109E-2,9.595050812E0,4.905000329E-2,9.595193066E0
2.704953710E-1,-1.050000079E-3,9.574050903E0,6.599999964E-2,9.574278448E0
2.730058320E-1,0.000000000E0,9.600000381E0,9.495000541E-2,9.600469927E0
2.755190630E-1,-1.605000161E-2,9.595050812E0,1.519500017E-1,9.596267320E0
2.780266800E-1,3.405000269E-2,9.628950119E0,1.020000055E-1,9.629550550E0
2.805371350E-1,8.205000311E-2,9.705000877E0,1.210500076E-1,9.706102582E0
2.830475960E-1,6.000000238E-2,9.763050079E0,1.429500133E-1,9.764280903E0
2.855608270E-1,6.705000252E-2,9.793950081E0,1.350000054E-1,9.795109948E0
2.880685210E-1,6.195000187E-2,9.823050499E0,5.595000088E-2,9.823405179E0
2.905789720E-1,6.705000252E-2,9.853950500E0,6.599999964E-2,9.854399635E0
2.930894330E-1,4.605000094E-2,9.871050835E0,1.350000054E-1,9.872081350E0
2.956026640E-1,8.895000070E-2,9.892050743E0,2.140500098E-1,9.894766163E0
2.981101280E-1,1.440000087E-1,9.943050385E0,3.439500034E-1,9.950039626E0
3.006205870E-1,1.129500046E-1,9.949950218E0,4.900500178E-1,9.962651056E0
3.031310530E-1,1.050000042E-1,9.901950836E0,5.160000324E-1,9.915942285E0
3.056442840E-1,1.129500046E-1,9.910950661E0,5.400000215E-1,9.926293403E0
3.081519780E-1,1.339500099E-1,9.916050911E0,4.660500288E-1,9.927900629E0
3.106624380E-1,1.249500066E-1,9.865950584E0,3.990000188E-1,9.874806046E0
3.131728950E-1,8.895000070E-2,9.877950668E0,3.460500240E-1,9.884410560E0
3.156860490E-1,3.600000218E-2,9.889950752E0,3.100500107E-1,9.894875082E0
3.181937430E-1,3.600000218E-2,9.868050575E0,2.959500253E-1,9.872553093E0
3.207042030E-1,3.105000220E-2,9.820050240E0,1.860000044E-1,9.821860659E0
3.232146640E-1,8.895000070E-2,9.787050247E0,1.350000054E-1,9.788385446E0
3.257279140E-1,1.650000066E-1,9.751049995E0,1.260000020E-1,9.753259815E0
3.282356080E-1,1.680000126E-1,9.727050781E0,1.069500074E-1,9.729089331E0
3.307458370E-1,1.369500011E-1,9.703050613E0,1.350000054E-1,9.704956028E0
3.332562990E-1,1.369500011E-1,9.676950455E0,1.140000075E-1,9.678590879E0
3.357695390E-1,1.630500108E-1,9.684000015E0,9.705000371E-2,9.685858780E0
3.382772330E-1,1.170000061E-1,9.712950706E0,3.495000303E-2,9.713718234E0
3.407876920E-1,1.030500084E-1,9.646050453E0,1.095000096E-2,9.646607101E0
3.432980770E-1,9.105000645E-2,9.664950371E0,-3.600000218E-2,9.665446279E0
3.458113710E-1,4.800000042E-2,9.667050362E0,-4.095000029E-2,9.667256260E0
3.483189880E-1,1.200000010E-2,9.648000717E0,0.000000000E0,9.648008180E0
3.508294480E-1,6.495000422E-2,9.684000015E0,6.795000285E-2,9.684456206E0
3.533399090E-1,1.050000042E-1,9.643050194E0,2.505000122E-2,9.643654367E0
3.558531400E-1,1.440000087E-1,9.640950203E0,-1.005000062E-2,9.642030793E0
3.583608340E-1,1.870500147E-1,9.649950027E0,-3.600000218E-2,9.651829839E0
3.608712940E-1,2.280000150E-1,9.664950371E0,-6.900000572E-2,9.667885533E0
3.633815250E-1,2.080500126E-1,9.700950623E0,-3.105000220E-2,9.703231003E0
3.658947550E-1,1.800000072E-1,9.727050781E0,-1.395000052E-2,9.728726099E0
3.684024350E-1,1.099500060E-1,9.765000343E0,9.000000358E-2,9.766034032E0
3.709128940E-1,6.195000187E-2,9.793950081E0,2.119500041E-1,9.796439087E0
3.734233560E-1,-1.605000161E-2,9.813000679E0,3.150000274E-1,9.818068290E0
3.759365870E-1,-5.595000088E-2,9.829950333E0,3.990000188E-1,9.838203848E0
3.784442860E-1,-4.050000105E-3,9.799050331E0,4.230000079E-1,9.808176834E0
3.809546680E-1,7.695000619E-2,9.799050331E0,4.510500133E-1,9.809727560E0
3.834651300E-1,1.870500147E-1,9.808050156E0,3.940500319E-1,9.817744700E0
3.859783610E-1,3.109500110E-1,9.825000763E0,3.289500177E-1,9.835422615E0
3.884860700E-1,3.420000076E-1,9.877950668E0,3.559500277E-1,9.890276732E0
3.909965300E-1,2.010000050E-1,9.898950577E0,3.919500113E-1,9.908746053E0
3.935069910E-1,7.695000619E-2,9.913950920E0,3.720000088E-1,9.921226142E0
3.960199910E-1,4.950000439E-3,9.885000229E0,3.130500019E-1,9.889957246E0
3.985276950E-1,-6.405000389E-2,9.849000931E0,3.150000274E-1,9.854245113E0
4.010381540E-1,-7.950000465E-3,9.793950081E0,2.260500044E-1,9.796561641E0
4.035486160E-1,1.080000028E-1,9.756000519E0,1.399500072E-1,9.757601966E0
4.060618460E-1,1.840500087E-1,9.708000183E0,6.105000153E-2,9.709936615E0
4.085695410E-1,2.419500053E-1,9.694050789E0,-1.005000062E-2,9.697074894E0
4.110800000E-1,2.539499998E-1,9.631050110E0,-1.249500066E-1,9.635207799E0
4.135903850E-1,1.770000011E-1,9.610050201E0,-1.800000072E-1,9.613365377E0
4.161036160E-1,9.600000083E-2,9.615000725E0,-2.370000184E-1,9.618400280E0
4.186113200E-1,3.105000220E-2,9.607050896E0,-2.250000089E-1,9.609735481E0
4.211217790E-1,-5.400000140E-2,9.616950035E0,-1.870500147E-1,9.618920505E0
4.236322410E-1,-5.595000088E-2,9.615000725E0,-1.050000042E-1,9.615736807E0
4.261454720E-1,-4.005000368E-2,9.586050034E0,-1.200000048E-1,9.586884752E0
4.286531560E-1,-1.800000109E-2,9.607050896E0,-7.200000435E-2,9.607337556E0
4.311636160E-1,1.695000008E-2,9.619050026E0,-1.005000062E-2,9.619070210E0
4.336738460E-1,7.050000131E-3,9.634050369E0,3.495000303E-2,9.634116344E0
4.361870770E-1,-1.605000161E-2,9.676950455E0,1.500000060E-1,9.678126250E0
4.386947620E-1,-2.805000171E-2,9.715050697E0,2.479500175E-1,9.718254785E0
4.412052210E-1,-7.950000465E-3,9.772950172E0,3.100500107E-1,9.777870386E0
4.437156830E-1,-3.705000132E-2,9.796050072E0,4.080000222E-1,9.804612880E0
4.462288360E-1,-1.309500039E-1,9.828000069E0,4.800000191E-1,9.840586023E0
4.487365410E-1,-1.500000060E-1,9.841950417E0,5.380499959E-1,9.857788079E0
4.512470000E-1,-7.304999977E-2,9.829950333E0,4.680000246E-1,9.841355794E0
4.537574620E-1,5.505000427E-2,9.721950531E0,3.220500052E-1,9.727438966E0
4.562706930E-1,6.195000187E-2,9.631050110E0,1.039500013E-1,9.631810298E0
4.587783820E-1,-1.140000075E-1,9.622050285E0,-1.905000024E-2,9.622744442E0
4.612886110E-1,-2.340000123E-1,9.628950119E0,-7.050000131E-3,9.631795580E0
4.637990720E-1,-2.430000156E-1,9.709950447E0,4.905000329E-2,9.713114464E0
4.663123030E-1,-2.310000062E-1,9.732000351E0,2.805000171E-2,9.734781900E0
4.688199920E-1,-1.210500076E-1,9.744000435E0,3.705000132E-2,9.744822742E0
4.713304520E-1,-8.505000174E-2,9.700950623E0,8.805000782E-2,9.701723006E0
4.738409130E-1,-5.895000324E-2,9.744000435E0,1.740000099E-1,9.745732173E0
4.763541440E-1,-1.605000161E-2,9.697950363E0,1.860000044E-1,9.699747154E0
4.788618390E-1,-1.500000060E-1,9.658050537E0,8.505000174E-2,9.659589726E0
4.813722980E-1,-3.199500144E-1,9.625950813E0,7.995000482E-2,9.631598469E0
4.838826830E-1,-4.350000322E-1,9.682050705E0,-3.795000166E-2,9.691892028E0
4.863959130E-1,-4.540500343E-1,9.694050789E0,-1.030500084E-1,9.705225471E0
4.889036180E-1,-4.009500146E-1,9.721950531E0,-1.009500027E-1,9.730738612E0
4.914140770E-1,-2.929500043E-1,9.679050446E0,-1.009500027E-1,9.684008888E0
4.939245390E-1,-2.599500120E-1,9.604950905E0,-1.410000026E-1,9.609502427E0
4.964377700E-1,-2.860500216E-1,9.540000916E0,-1.770000011E-1,9.545929556E0
4.989452280E-1,-2.890500128E-1,9.507000923E0,-2.370000184E-1,9.514346298E0
5.014556880E-1,-2.670000196E-1,9.504000664E0,-2.560500205E-1,9.511197571E0
5.039661490E-1,-1.690500081E-1,9.586050034E0,-3.660000265E-1,9.594523916E0
5.064793800E-1,-3.000000119E-2,9.649950027E0,-4.360500276E-1,9.659843433E0
5.089870740E-1,1.695000008E-2,9.708000183E0,-3.499500155E-1,9.714320350E0
5.114975340E-1,-1.159500033E-1,9.793950081E0,-2.080500126E-1,9.796845788E0
5.140079190E-1,-2.620500028E-1,9.741000175E0,-2.205000073E-2,9.744549288E0
5.165211490E-1,-4.830000103E-1,9.603000641E0,7.995000482E-2,9.615472028E0
5.190288590E-1,-5.689499974E-1,9.568950653E0,7.605000585E-2,9.586151694E0
5.215393180E-1,-5.209500194E-1,9.615000725E0,4.905000329E-2,9.629228098E0
5.240497800E-1,-3.799500167E-1,9.631050110E0,-1.200000010E-2,9.638549281E0
5.265627800E-1,-2.550000250E-1,9.552000046E0,-1.530000120E-1,9.556628008E0
5.290704780E-1,-2.890500128E-1,9.487950325E0,-4.050000310E-1,9.500988175E0
5.315809380E-1,-3.750000298E-1,9.394050598E0,-6.540000439E-1,9.424252104E0
5.340913990E-1,-4.969500303E-1,9.243000031E0,-9.169500470E-1,9.301656104E0
5.366046300E-1,-7.120500207E-1,9.115950584E0,-1.141950011E0,9.214750139E0
5.391123240E-1,-5.970000029E-1,9.004050255E0,-1.338000059E0,9.122476317E0
5.416227940E-1,-2.910000086E-1,8.866950035E0,-1.446000099E0,8.988793034E0
5.441332550E-1,-1.759500057E-1,8.487000465E0,-1.495950103E0,8.619628879E0
5.466464860E-1,1.579500139E-1,7.327950478E0,-1.690050125E0,7.521972869E0
5.491541800E-1,1.453050017E0,3.291000128E0,-1.663950086E0,3.963680875E0
5.516645770E-1,1.899000049E0,1.989000082E0,-5.029500127E-1,2.795582448E0
5.541750390E-1,2.169000149E0,1.728000045E0,1.210500076E-1,2.775824005E0
5.566882690E-1,1.588050127E0,1.660950065E0,5.400000140E-2,2.298602689E0
5.591959640E-1,9.630000591E-1,1.752000093E0,-1.129500046E-1,2.002406339E0
5.617064130E-1,5.599500537E-1,1.069050074E0,-3.405000269E-2,1.207299269E0
5.642166440E-1,-4.005000368E-2,-2.130000144E-1,2.805000171E-2,2.185401829E-1
5.667298750E-1,-7.950000465E-3,-8.595000207E-2,5.895000324E-2,1.045261127E-1
5.692375690E-1,3.405000269E-2,-1.905000024E-2,-1.395000052E-2,4.143558503E-2
5.717480340E-1,-4.050000105E-3,-2.595000155E-2,6.000000052E-3,2.694076989E-2
5.742584950E-1,-1.095000096E-2,-5.295000225E-2,4.005000368E-2,6.728750296E-2
5.767717260E-1,-4.200000316E-2,-1.695000008E-2,1.305000018E-2,4.713390789E-2
5.792793430E-1,0.000000000E0,-4.995000362E-2,7.095000148E-2,8.676926629E-2
5.817897880E-1,1.200000010E-2,-7.905000448E-2,2.505000122E-2,8.378786172E-2
5.843002490E-1,1.005000062E-2,-7.395000011E-2,2.805000171E-2,7.972708213E-2
5.868134800E-1,3.000000026E-3,-6.495000422E-2,1.305000018E-2,6.631595248E-2
5.893211750E-1,1.695000008E-2,-6.195000187E-2,4.395000264E-2,7.782485442E-2
5.918314080E-1,-1.305000018E-2,-4.500000179E-2,2.805000171E-2,5.460865556E-2
5.943421010E-1,-1.605000161E-2,-2.895000204E-2,3.495000303E-2,4.813738549E-2
5.968551010E-1,1.200000010E-2,-1.005000062E-2,4.200000316E-2,4.482190068E-2
5.993630260E-1,-1.305000018E-2,-1.005000062E-2,1.605000161E-2,2.299799054E-2
6.018732680E-1,-1.050000079E-3,-4.305000231E-2,4.050000105E-3,4.325283458E-2
6.043837300E-1,1.200000010E-2,-6.195000187E-2,1.095000096E-2,6.404455679E-2
6.068969610E-1,4.950000439E-3,-4.995000362E-2,2.505000122E-2,5.609819897E-2
6.094046550E-1,7.050000131E-3,-6.495000422E-2,3.495000303E-2,7.409256550E-2
6.119151200E-1,0.000000000E0,-7.200000435E-2,0.000000000E0,7.200000435E-2
6.144255810E-1,-1.095000096E-2,-9.795000404E-2,5.895000324E-2,1.148442802E-1
6.169387350E-1,4.950000439E-3,-4.995000362E-2,4.005000368E-2,6.421454789E-2
6.194464290E-1,1.695000008E-2,-3.105000220E-2,3.495000303E-2,4.972834052E-2
6.219568940E-1,1.395000052E-2,-5.505000427E-2,2.295000106E-2,6.125200432E-2
6.244673550E-1,4.950000439E-3,-6.900000572E-2,6.105000153E-2,9.226378478E-2
6.269805860E-1,4.950000439E-3,-7.395000011E-2,4.905000329E-2,8.887636268E-2
6.294882810E-1,-1.305000018E-2,-4.995000362E-2,3.000000119E-2,5.971017868E-2
6.319985140E-1,0.000000000E0,-5.295000225E-2,1.305000018E-2,5.453444089E-2
6.345089760E-1,-6.000000052E-3,-4.995000362E-2,1.800000109E-2,5.343222718E-2
6.370222070E-1,1.905000024E-2,-8.400000632E-2,1.995000057E-2,8.841326876E-2
6.395299010E-1,-3.705000132E-2,-1.395000052E-2,4.200000316E-2,5.771746164E-2
6.420403790E-1,-7.950000465E-3,-3.105000220E-2,3.705000132E-2,4.898987387E-2
6.445507640E-1,1.200000010E-2,-7.695000619E-2,2.295000106E-2,8.119116949E-2
6.470639950E-1,4.950000439E-3,-3.105000220E-2,3.705000132E-2,4.859328903E-2
6.495716890E-1,0.000000000E0,-1.905000024E-2,7.304999977E-2,7.549307899E-2
6.520821340E-1,-1.995000057E-2,-3.299999982E-2,3.495000303E-2,5.204330142E-2
6.545925950E-1,3.000000026E-3,-6.195000187E-2,4.200000316E-2,7.490529352E-2
6.571058260E-1,2.400000021E-2,-5.295000225E-2,1.800000109E-2,6.085805442E-2
6.596135200E-1,2.205000073E-2,-5.700000376E-2,2.805000171E-2,6.724585903E-2
6.621239800E-1,-1.305000018E-2,-6.900000572E-2,-4.950000439E-3,7.039748432E-2
6.646344360E-1,1.005000062E-2,-4.995000362E-2,3.195000067E-2,6.013990287E-2
6.671474360E-1,-2.805000171E-2,-3.299999982E-2,4.395000264E-2,6.170417584E-2
6.696551310E-1,-7.950000465E-3,-4.995000362E-2,7.304999977E-2,8.885104297E-2
6.721655900E-1,-2.295000106E-2,-4.800000042E-2,1.305000018E-2,5.478143019E-2
6.746760670E-1,3.000000026E-3,-8.400000632E-2,5.595000088E-2,1.009722915E-1
6.771892980E-1,-7.950000465E-3,-6.495000422E-2,1.305000018E-2,6.672336967E-2
6.796969920E-1,1.395000052E-2,-4.305000231E-2,1.800000109E-2,4.870220993E-2
